Название,Значение,Описание
color-base-base,#000000,"Базовый цвет содержимого, от которого выстраиваются цвета текста, иконок, ..."
color-base-essential,#ffffff,Базовый цвет поверхностей
color-base-project,#0056b3,"Проектный цвет, от которого выстраивают акцентные состояния"
color-base-phantom,#000000,"Тонирующий цвет, от которого выстраиватся бордеры, паранджа, ..."
color-base-path,#0070f0,"Ссылочный цвет, от которого выстраиваются все их состояния"
color-base-success,#00985f,Цвет успеха
color-base-alert,#ff3333,Цвет ошибки
color-base-warning,#ff9900,Цвет предупреждения
color-base-normal,#dde3e5,Цвет нейтральный
