Название,Значения,Описание
color,"brand default inverse ",Токены цветовых схем
space,default,Токены размеров отступов
size,"default ",Токены размеров и высот строк типографики
breakpoint,default,Токены точек изменения интерфейса при адаптиве
gap," medium",Токены размеров расстояния между колонками сетки
animation,default,Токены кейфреймов для анимации
shadow,default,Токены теней поверхностей
corner,default,Токены размеров скруглений
