Name,Tags
slider-allowed-range-before-indentLeft,Размер внешнего левого отступа левого ограничителя у slider
slider-allowed-range-after-indentRight,Размер внешнего правого отступа правого ограничителя у slider
slider-size-s-text-indentAll,Размер внешних отступов текста у s-slider
slider-size-s-range-after-positionTop,Размер верхнего отступа ограничителя у s-slider
slider-size-m-text-indentAll,Размер внешних отступов текста у m-slider
slider-size-m-range-after-positionTop,Размер верхнего отступа ограничителя у m-slider
