Name,Tags
radiobox-size-s-positionTop,Верхний отступ у s-radio
radiobox-size-s-indentRight,"Размер внешнего правого отступа у s-radio (от текста) "
radiobox-size-m-positionTop,Верхний отступ у m-radio
radiobox-size-m-indentRight,Размер внешнего правого отступа у m-radio (от текста)
