Name,Tags
tooltip-size-s-content-spaceAll,Размер внутренних оступов у контента s-tooltip
tooltip-size-m-content-spaceAll,Размер внутренних оступов у контента m-tooltip
tooltip-size-l-content-spaceAll,Размер внутренних оступов у контента l-tooltip
