Name,Tags
textinput-size-s-control-spaceAll,Размер внутреннего отступа самого s-textinput
textinput-size-s-has-icon-spaceRight,Размер внутреннего правого отступа под размер иконки или крестика у s-textinput
textinput-size-s-has-icon-spaceLeft,Размер внутреннего левого отступа под размер иконки или крестика у s-textinput
textinput-size-m-control-spaceAll,Размер внутреннего отступа самого m-textinput
textinput-size-m-has-icon-spaceRight,Размер внутреннего правого отступа под размер иконки или крестика у m-textinput
textinput-size-m-has-icon-spaceLeft,Размер внутреннего правого отступа правого остступа под размер иконки или крестика у m-textinput
