Name,Tags
tumbler-size-s-text-side-left-spaceRight,Внутренний Размер внешнего правого отступа текста слева от s-tumbler
tumbler-size-s-text-side-left-spaceLeft,Внутренний Размер внешнего левого отступа текста слева от s-tumbler
tumbler-size-m-text-side-left-spaceRight,Внутренний Размер внешнего правого отступа текста слева от m-tumbler
tumbler-size-m-text-side-left-spaceLeft,Внутренний Размер внешнего левого отступа текста слева от m-tumbler
