Name,Tags
button-size-s-text-indentAll,Размер внешнего отступа у s-button
button-size-s-icon-indentLeft,Размер внешнего левого отступа текста от иконки у s-button
button-size-s-icon-indentRight,Размер внешнего правого отступа текста от иконки у s-button
button-size-m-text-indentAll,Размер внешнего отступа у m-button
button-size-m-icon-indentLeft,Размер внешнего левого отступа текста от иконки у m-button
button-size-m-icon-indentRight,Размер внешнего правого отступа текста от иконки у m-button
button-size-l-text-indentAll,Размер внешнего отступа у l-button
button-size-l-icon-indentLeft,Размер внешнего левого отступа текста от иконки у l-button
button-size-l-icon-indentRight,Размер внешнего правого отступа текста от иконки у l-button
