Name,Tags
textarea-size-s-spaceAll,"Внутренние отступы у s-textarea "
tumbler-size-s-button-positionTop,Отступ кнопки от s-tumbler
tumbler-size-s-button-positionLeft,Отступ кнопки от s-tumbler
tumbler-size-s-button-check-positionLeft,Отступ у чекнутого состояния s-button
textarea-size-m-spaceAll,Внутренние отступы m-textarea
tumbler-size-m-button-positionTop,Внешний верхний отступ кнопки от m-tumbler
tumbler-size-m-button-positionLeft,Внешний внутренний отступ кнопки от m-tumbler
tumbler-size-m-button-check-positionLeft,Отступ у чекнутого состояния m-button
