Название,Значение,Описание
line-height-typo-xs,15px,Переменная величины мобильного межстрочного интервала размера xs
line-height-typo-s,18px,Переменная величины мобильного межстрочного интервала размера s
line-height-typo-m,21px,Переменная величины мобильного межстрочного интервала размера m
line-height-typo-l,22px,Переменная величины  мобильного межстрочного интервала размера l
line-height-typo-xl,25px,Переменная величины  мобильного межстрочного интервала размера xl
line-height-typo-2xl,28px,Переменная величины  мобильного межстрочного интервала размера 2xl
line-height-typo-3xl,32px,Переменная величины  мобильного межстрочного интервала размера 3xl
line-height-typo-4xl,38px,Переменная величины  мобильного межстрочного интервала размера 4xl
