Название,Значение,Описание
size-typo-xs,11px,Переменная величины десктопного текста размера xs
size-typo-s,13px,Переменная величины десктопного текста размера s
size-typo-m,15px,Переменная величины десктопного текста размера m
size-typo-l,18px,Переменная величины десктопного текста размера l
size-typo-xl,20px,Переменная величины десктопного текста размера xl
size-typo-2xl,24px,Переменная величины десктопного текста размера 2xl
size-typo-3xl,32px,Переменная величины десктопного текста размера 3xl
size-typo-4xl,40px,Переменная величины десктопного текста размера 4xl
