Название,Значение,Описание
size-typo-xs,11px,Переменная размера мобильного текста xs
size-typo-s,13px,Переменная размера мобильного текста s
size-typo-m,15px,Переменная размера мобильного текста m
size-typo-l,16px,Переменная размера мобильного текста l
size-typo-xl,18px,Переменная размера мобильного текста xl
size-typo-xxl,20px,Переменная размера мобильного текста 3xl
size-typo-3xl,24px,Переменная размера мобильного текста 3xl
size-typo-4xl,32px,Переменная размера мобильного текста 3xl
