Название,Значение,Описание
line-height-typo-xs,15px,Переменная величины десктопного межстрочного интервала размера xs
line-height-typo-s,18px,Переменная величины десктопного межстрочного интервала размера s
line-height-typo-m,21px,Переменная величины десктопного межстрочного интервала размера m
line-height-typo-l,25px,Переменная величины десктопного межстрочного интервала размера l
line-height-typo-xl,28px,Переменная величины десктопного межстрочного интервала размера xxl
line-height-typo-3xl,34px,Переменная величины десктопного межстрочного интервала размера xxl
line-height-typo-3xl,38px,Переменная величины десктопного межстрочного интервала размера xxxl
line-height-typo-4xl,48px,Переменная величины десктопного межстрочного интервала размера xxxxl
