Name,Tags
color-control-bg-default,Цвет фона контрола
color-control-bg-default-hover,Цвет фона контрола по ховеру
color-control-bg-default-press,Цвет фона контрола по нажатию
color-control-bg-default-disable,Цвет фона неактивного контрола
сolor-control-bg-border-default,Цвет фона бордеров контрола
color-control-bg-border-default-hover,Цвет фона бордеров контрола по ховеру
color-control-bg-border-default-press,Цвет фона бордеров контрола по нажатию
color-control-bg-border-default-disable,Цвет фона бордеров неактивного контрола
