Name,Tags
color-control-bg-blank,Цвет фона пустого контрола
color-control-bg-blank-hover,Цвет фона пустого контрола по ховеру
color-control-bg-blank-disable,Цвет фона пустого неактивного контрола
color-control-bg-border-blank,Цвет фона бордеров пустого контрола
color-control-bg-border-blank-hover,Цвет фона бордеров пустого контрола по ховеру
color-control-bg-border-blank-disable,Цвет фона бордеров пустого неактивного контрола
