Name,Tags
color-control-typo-primary,Цвет основного текста дефолтных контролов
color-control-typo-secondary,Цвет второстепеного текста контрола
color-control-typo-ghost,Цвет дополнительного текста контрола
color-control-typo-passive,Цвет текста внутри акцентного блока (используется внутри чекнутого контрола)
color-control-typo-faint,Цвет текста внутри чекнутого блока
color-control-typo-disable,Цвет основного текста неактивного контрола
color-control-typo-link,Цвет ссылки
