Name,Tags
color-control-bg-heavy,Цвет уплотнённого фона контрола
color-control-bg-heavy-hover,Цвет уплотнённого фона контрола по ховеру
color-control-bg-heavy-press,Цвет уплотнённого фона контрола по нажатию
color-control-bg-border-heavy,Цвет уплотнённого фона бордеров контрола
color-control-bg-border-heavy-hover,Цвет уплотнённого фона бордеров контрола по ховеру
color-control-bg-border-heavy-press,Цвет уплотнённого фона бордеров контрола по нажатию
