Name,Tags
color-control-bg-check,Цвет фона чекнутого контрола
color-control-bg-check-press,Цвет фона чекнутого контрола по нажатию
color-control-bg-check-hover,Цвет фона чекнутого контрола по ховеру
color-control-bg-check-disable,Цвет фона чекнутого неактивного контрола
color-control-bg-border-check,Цвет фона бордеров чекнутого контрола
color-control-bg-border-check-press,Цвет фона бордеров чекнутого контрола при фокусе по нажатию
color-control-bg-border-check-hover,Цвет фона бордеров чекнутого контрола по ховеру
