Название,Значение,Описание
border,between,Устанавливает границу между элементами
distribute,default between,Распределяет контент внутри элементов item по горизонтали
vertical-align,baseline center top,Распределяет контент внутри элементов item по вертикали
space-around,xs s m l xl,Внутренние отступы со всех сторон
space-horizontal," xs s m l xl",Внутренние отступы по горизонтали
space-vertical,xs s m l xl,Внутренние отступы по вертикали
indent-vertical," xs s m l xl ",Внешний отступ между элементами item
stripe,even odd,Зебрирование строк списка
