Название,Значение,Описание
radius-xs,"2px ",Переменная величины скругления размера xs
radius-s,4px,Переменная величины скругления размера s
radius-m,8px,Переменная величины скругления размера m
radius-l,12px,Переменная величины скругления размера l
radius-xl,16px,Переменная величины скругления размера xl
radius-2xl,20px,Переменная величины скругления размера 2xl
