Название,Значение,Описание
xs-columns,2 3,Колличество возможных колонок при ширине экрана screen-xs
s-columns,5 6 8,Колличество возможных колонок при ширине экрана screen-s
m-columns,6 10 12,Колличество возможных колонок при ширине экрана screen-m
l-columns,6 10 12,Колличество возможных колонок при ширине экрана screen-l
xl-columns,6 10 12,Колличество возможных колонок при ширине экрана screen-xl
