Модификатор,Значение,Описание
xs-ratio,1-1 1-1-1,Количество столбцов в одном ряду сетки при ширине экрана screen-xs
s-ratio,1-1 1-1-1 1-1-1-1 1-1-1-1-1 1-1-1-1-1-1,Количество столбцов  в одном ряду сетки при ширине экрана screen-s
m-ratio,1-1 1-1-1 1-1-1-1 1-1-1-1-1 1-1-1-1-1-1,Количество столбцов  в одном ряду сетки при ширине экрана screen-m
l-ratio,1-1 1-1-1 1-1-1-1 1-1-1-1-1 1-1-1-1-1-1,Количество столбцов в одном ряду сетки при ширине экрана screen-l
xl-ratio,1-1 1-1-1 1-1-1-1 1-1-1-1-1 1-1-1-1-1-1,Количество столбцов в одном ряду сетки при ширине экрана screen-xl
