Name,Tags
attach-size-s-fontSize,Размер текста у s-attach
attach-size-s-lineHeight,Межстрочный интервал текста у s-attach
attach-size-m-fontSize,Размер текста у m-attach
attach-size-m-lineHeight,Межстрочный интервал текста у m-attach
