Name,Tags
tumbler-size-s-fontSize,Размер текста s-tumbler
tumbler-size-s-lineHeigh,Межстрочный интервал текста у s-tumbler
tumbler-size-m-fontSize,Размер текста m-tumbler
tumbler-size-m-lineHeight,Межстрочный интервал текста у m-tumbler
