Название,Значение,Описание
shadow-content-default,"0 1px 1px 0 rgba(0, 0, 0, 0.08), 0 2px 4px 1px rgba(0, 0, 0, 0.08), 0 4px 8px 1px rgba(0, 0, 0, 0.08)",Обычное состояние
shadow-content-raise,"0 8px 6px -8px rgba(0, 0, 0, 0.08), 0 6px 10px -2px rgba(0, 0, 0, 0.08), 0 10px 20px 0 rgba(0, 0, 0, 0.08)",Состояние при наведении
