Название,Значение,Описание
shadow-cloud-default,"0 8px 20px 0 rgba(0, 0, 0, 0.08), 0 12px 24px 0 rgba(0, 0, 0, 0.08)",Обычное состояние
shadow-cloud-raise,"0 14px 24px -2px rgba(0, 0, 0, 0.08), 0 18px 32px -4px rgba(0, 0, 0, 0.08)",Состояние при наведении
