Name,Tags
button-size-s-height,Высота у s-button
button-size-s-icon-width,Ширина иконки у s-button
button-size-m-height,Высота у m-button
button-size-m-icon-width,Ширина иконки у m-button
button-size-l-height,Высота у l-button
button-size-l-icon-width,Ширина иконки у l-button
button-size-l-icon-width,Ширина иконки у l-button
,
