Name,Tags
textinput-size-s-height,Высота самого s-textinput
textinput-size-s-control-height,Высота контрола инпута s-textinput
textinput-size-s-icon-width,Ширина иконки у s-textinput
textinput-size-s-icon-height,Высота иконки у s-textinput
,
textinput-size-m-height,Высота самого m-textinput
textinput-size-m-control-height,Высота контрола m-textinput
textinput-size-m-icon-width,Ширина иконки у m-textinput
textinput-size-m-icon-height,Высота иконки у m-textinput
