Name,Tags
radiobox-size-s-size,Размер бокса у s-radio
radiobox-size-m-size,Размер бокса у m-radio
radioButton-icon-width,Ширина иконки у radioButton
radioButton-icon-height,Высота иконки у radioButton
radiobox-size-s-after-size,...
radiobox-size-m-after-size,...
