Name,Tags
slider-size-s-body-height,Высота у s-slider
slider-size-s-runner-minWidth,Размер минимальной ширины ползунков у s-slider
slider-size-s-range-height,Высота рельсы у s-slider
slider-size-s-range-after-height,Высота ограничителя у s-slider
slider-size-m-body-height,Высота m-slider
slider-size-m-runner-minWidth,Размер минимальной ширины ползунков у m-slider
slider-size-m-range-height,Высота рельсы у m-slider
slider-size-m-range-after-height,Высота ограничителя у m-slider
