Name,Tags
tooltip-size-s-content-width,Размер ширины контента s-tooltip
tooltip-size-s-content-height,Размер высоты контента s-tooltip
tooltip-size-s-tail-size,Размер хвоста s-tooltip
tooltip-size-m-content-width,Размер ширины контента m-tooltip
tooltip-size-m-content-height,Размер высоты контента m-tooltip
tooltip-size-m-tail-size,Размер хвоста m-tooltip
tooltip-size-l-content-width,Размер ширины контента l-tooltip
tooltip-size-l-content-height,Размер высоты контента l-tooltip
tooltip-size-l-tail-size,Размер хвоста l-tooltip
