Name,Tags
textarea-size-s-minWidth,Размер минимальной ширины у s-textarea
textarea-size-s-minHeight,Размер минимальной высоты у s-textarea
textarea-size-s-clear-width,Ширина очищающего контрола у s-textarea
textarea-size-s-clear-height,Высота очищающего контрола у s-textarea
textarea-size-m-minWidth,Размер минимальной ширины у m-textarea
textarea-size-m-minHeight,Размер минимальной высоты у m-textarea
textarea-size-m-clear-width,Ширина очищающего контрола у m-textarea
textarea-size-m-clear-height,Высота очищающего контрола у m-textarea
